from,to,action
"K04462","H00004","overexpression"
"K08530","H02106",unknown
"K12197","H00897",unknown
"K04451","H01481",unknown
"K00249","H01400",unknown
"K20726","H02459",unknown
"K03648","H00086",unknown
"K08112","H00493",unknown
"K00966","H00120",unknown
"K04524","H00056",unknown
"K01679","H01510","mutation"
"K07994","H02187",unknown
"K00261","H01400",unknown
"K04632","H00441",unknown
"K14970","H00034","mutation, LOH"
"K19870","H00564",unknown
"K02833","H00523",unknown
"K11351","H00473",unknown
"K03231","H00606",unknown
"K23751","H00605",unknown
"K06640","H00992",unknown
"K16772","H00527",unknown
"K08220","H01120",unknown
"K05970","H01232",unknown
"K16309","H00978",unknown
"K09666","H01960",unknown
"K09053","H00052","translocation"
"K18490","H00254",unknown
"K00181","H00949",unknown
"K09508","H00856",unknown
"K24553","H01282",unknown
"K05747","H00107",unknown
"K04447","H01481",unknown
"K11588","H00658",unknown
"K12409","H00594",unknown
"K08023","H00625",unknown
"K03068","H00625",unknown
"K05134","H00286",unknown
"K18081","H00264",unknown
"K10417","H02157",unknown
"K16834","H01774",unknown
"K05119","H00014","translocation"
"K10896","H01282",unknown
"K01059","H01635",unknown
"K04528","H00057",unknown
"K03954","H00473",unknown
"K16882","H00897",unknown
"K03843","H00118",unknown
"K06538","H00408","polymorphism"
"K06267","H00031",unknown
"K20646","H01413",unknown
"K05642","H02463",unknown
"K11276","H00003","mutation"
"K18178","H01368",unknown
"K17751","H00292",unknown
"K19480","H00594",unknown
"K10160","H00821",unknown
"K11218","H00091",unknown
"K02105","H00589",unknown
"K11152","H02292",unknown
"K14237","H01347",unknown
"K19361","H00530",unknown
"K11306","H01793",unknown
"K04577","H00535",unknown
"K06230","H02332",unknown
"K08131","H00476",unknown
"K10378","H01202",unknown
"K05006","H02077",unknown
"K06226","H01667","mutation"
"K10897","H00238",unknown
"K01027","H01121",unknown
"K02159","H00020","mutation"
"K25453","H02106",unknown
"K16728","H00269",unknown
"K24636","H00605",unknown
"K22592","H00773",unknown
"K05292","H01486",unknown
"K18271","H01027",unknown
"K19008","H00606",unknown
"K23106","H00211",unknown
"K01110","H00539",unknown
"K24398","H00615",unknown
"K04725","H01969",unknown
"K08736","H01025",unknown
"K24399","H00168",unknown
"K04685","H02434","deletion"
"K00286","H00679",unknown
"K01275","H00425",unknown
"K10628","H00092",unknown
"K04672","H00609",unknown
"K11987","H00046","overexpression"
"K18026","H00408","polymorphism"
"K09055","H02412","mutation"
"K12798","H01372",unknown
"K00864","H02013",unknown
"K01197","H00133",unknown
"K00207","H00193",unknown
"K10106","H01205",unknown
"K02332","H01118",unknown
"K07573","H00897",unknown
"K04944","H01573",unknown
"K23790","H00024","hypermethylation"
"K11846","H00840",unknown
"K18419","H01004",unknown
"K09993","H00713",unknown
"K24577","H01908",unknown
"K12045","H00294",unknown
"K23863","H00436",unknown
"K04451","H01464","mutation"
"K06493","H01730",unknown
"K04142","H00079",unknown
"K04905","H00720",unknown
"K23311","H02251",unknown
"K18258","H00604",unknown
"K09275","H00961",unknown
"K00922","H01222",unknown
"K06013","H00665",unknown
"K06261","H01740",unknown
"K06621","H00022","homozygous deletion or hypermethylation"
"K22288","H01270",unknown
"K06522","H02514",unknown
"K08539","H00342",unknown
"K15101","H01268",unknown
"K12891","H01481",unknown
"K09223","H01740",unknown
"K08828","H02217",unknown
"K09350","H01351",unknown
"K04359","H00015","overexpression"
"K04845","H00783",unknown
"K04734","H00007","mutation"
"K07944","H00530",unknown
"K01312","H00933",unknown
"K09378","H00024","somatic mutation"
"K09434","H02160",unknown
"K10870","H02531",unknown
"K17386","H00042","overexpression"
"K04282","H00250",unknown
"K02599","H00002","mutation"
"K12311","H00139",unknown
"K05254","H01703","polymorphism"
"K14445","H00606",unknown
"K04632","H00501",unknown
"K07604","H00738",unknown
"K18179","H01368",unknown
"K10838","H01428",unknown
"K13822","H00228",unknown
"K06571","H00480",unknown
"K04003","H00106",unknown
"K02271","H01904",unknown
"K09256","H00630",unknown
"K06052","H00549",unknown
"K20279","H00606",unknown
"K19484","H00711",unknown
"K12314","H00546",unknown
"K20278","H00530",unknown
"K16628","H00763",unknown
"K03843","H00770",unknown
"K14613","H01252",unknown
"K04357","H00020","overexpression"
"K03907","H00223",unknown
"K06752","H00080",unknown
"K06476","H01235",unknown
"K08562","H01598",unknown
"K23911","H00527",unknown
"K04526","H00408","polymorphism"
"K11430","H02412","mutation"
"K03019","H00679",unknown
"K04794","H02391",unknown
"K08546","H02341",unknown
"K08867","H02310",unknown
"K24754","H01722",unknown
"K20190","H00166",unknown
"K01262","H00537",unknown
"K06568","H00541",unknown
"K17412","H00891",unknown
"K02366","H00122",unknown
"K07207","H00915",unknown
"K04867","H00773",unknown
"K01001","H00118",unknown
"K05294","H01489",unknown
"K23353","H01593","polymorphism"
"K04929","H00604",unknown
"K13340","H00177",unknown
"K06125","H00999",unknown
"K05069","H02525",unknown
"K08061","H00093",unknown
"K12382","H00423",unknown
"K18274","H00541",unknown
"K23028","H00583",unknown
"K20251","H00687",unknown
"K00849","H02009",unknown
"K05495","H00550",unknown
"K07206","H01691","mutation"
"K10149","H00640",unknown
"K09381","H00759",unknown
"K16512","H00481",unknown
"K04157","H01646",unknown
"K20051","H00853",unknown
"K22128","H00232",unknown
"K08010","H00098",unknown
"K15272","H00119",unknown
"K04946","H00807",unknown
"K06573","H00231",unknown
"K01279","H00149",unknown
"K07990","H01969",unknown
"K23957","H00292",unknown
"K00036","H00668",unknown
"K06081","H00516",unknown
"K05745","H02339",unknown
"K06027","H00606",unknown
"K23220","H00591",unknown
"K19657","H00537",unknown
"K09634","H00605",unknown
"K04928","H00806",unknown
"K10183","H01867",unknown
"K05661","H01027",unknown
"K13345","H00205",unknown
"K12815","H00527",unknown
"K05193","H00769",unknown
"K10610","H00403",unknown
"K11648","H00773",unknown
"K06225","H00267",unknown
"K24426","H00595",unknown
"K01102","H01996",unknown
"K13769","H00711",unknown
"K24359","H01027",unknown
"K08683","H00925",unknown
"K07966","H00119",unknown
"K07371","H00085",unknown
"K23837","H00605",unknown
"K14574","H01132",unknown
"K15608","H00626",unknown
"K03443","H01897",unknown
"K04865","H00749",unknown
"K22859","H00530",unknown
"K11284","H02174",unknown
"K09266","H00598",unknown
"K13341","H00075",unknown
"K03176","H00043","high/low expression"
"K00382","H00172",unknown
"K05654","H00984",unknown
"K19626","H00537",unknown
"K03946","H01354",unknown
"K08819","H02454",unknown
"K20372","H00792",unknown
"K08023","H00557",unknown
"K14701","H00515",unknown
"K07293","H02541",unknown
"K04841","H00783",unknown
"K00657","H00750",unknown
"K25361","H02516","polymorphism"
"K11827","H02026",unknown
"K04836","H02214",unknown
"K23553","H01489",unknown
"K03934","H00473",unknown
"K12586","H00897",unknown
"K22734","H00491",unknown
"K04197","H02126",unknown
"K15901","H01722",unknown
"K11647","H01403",unknown
"K02741","H02532",unknown
"K11153","H00837",unknown
"K25138","H00978",unknown
"K03881","H01355",unknown
"K23196","H00865",unknown
"K09042","H02526",unknown
"K05035","H01031",unknown
"K24539","H02213",unknown
"K08789","H02519",unknown
"K16744","H00530",unknown
"K22234","H00018","overexpression"
"K10790","H01000",unknown
"K23219","H00773",unknown
"K25425","H00564",unknown
"K14463","H00160",unknown
"K04385","H00020",unknown
"K09257","H02187",unknown
"K14714","H00119",unknown
"K06752","H00082","polymorphism"
"K24502","H00255",unknown
"K04976","H01877",unknown
"K07944","H00527",unknown
"K01371","H00425",unknown
"K04437","H02227",unknown
"K07599","H00786",unknown
"K14211","H00553",unknown
"K07190","H01760",unknown
"K23357","H02461",unknown
"K10861","H00564",unknown
"K20012","H00837",unknown
"K18626","H01796",unknown
"K11989","H00675",unknown
"K14231","H01356",unknown
"K00315","H01003",unknown
"K08775","H00031",unknown
"K04284","H00254",unknown
"K00102","H01532",unknown
"K07827","H00041","overexpression, mutation"
"K20001","H00154",unknown
"K17301","H02461",unknown
"K22827","H02447",unknown
"K04451","H00040","mutation"
"K08052","H01437",unknown
"K08844","H00066","mutation"
"K09452","H01920",unknown
"K08046","H00865",unknown
"K00710","H00119",unknown
"K20291","H00119",unknown
"K06641","H00020",unknown
"K15103","H02106",unknown
"K17401","H00891",unknown
"K12641","H00264",unknown
"K04727","H01209",unknown
"K01796","H00628",unknown
"K22865","H00530",unknown
"K18465","H00768",unknown
"K09396","H02167",unknown
"K17340","H00821",unknown
"K19477","H02543",unknown
"K06621","H00004","mutation"
"K06751","H00344",unknown
"K10738","H00599",unknown
"K05738","H01810",unknown
"K04962","H01019",unknown
"K12314","H01219",unknown
"K06785","H01301",unknown
"K09435","H00024","translocation"
"K10867","H01344",unknown
"K18190","H00891",unknown
"K09405","H00627",unknown
"K08367","H00001","translocation"
"K19289","H01436",unknown
"K23418","H01282",unknown
"K04827","H00892",unknown
"K08868","H02482",unknown
"K10866","H01344",unknown
"K22413","H00606",unknown
"K14998","H01354",unknown
"K05857","H01307",unknown
"K01835","H01762",unknown
"K17767","H00837",unknown
"K16198","H00606",unknown
"K05498","H00599",unknown
"K11651","H01403",unknown
"K04523","H00058",unknown
"K03156","H00080",unknown
"K02105","H00026","mutation"
"K04348","H00606",unknown
"K01719","H00201",unknown
"K09234","H01985","translocation"
"K00128","H01071",unknown
"K02959","H00891",unknown
"K01202","H00135",unknown
"K01834","H01951",unknown
"K05091","H00031","overexpression"
"K10149","H00516",unknown
"K03434","H01487",unknown
"K05455","H01649",unknown
"K24455","H00981",unknown
"K01934","H02461",unknown
"K00894","H02412","mutation"
"K10443","H02310",unknown
"K13645","H00514",unknown
"K23958","H00264",unknown
"K24227","H01282",unknown
"K04632","H02049",unknown
"K03945","H00473",unknown
"K02147","H01573",unknown
"K18487","H00632",unknown
"K05093","H00018","amplification"
"K02736","H02532",unknown
"K16533","H00418",unknown
"K04501","H00020","deletion"
"K00503","H01005",unknown
"K10980","H00924",unknown
"K19872","H01960",unknown
"K04447","H01433",unknown
"K06825","H00673",unknown
"K04366","H00294",unknown
"K19637","H00527",unknown
"K09680","H00832",unknown
"K21598","H01862",unknown
"K07604","H00667",unknown
"K00037","H00607",unknown
"K00277","H00801",unknown
"K03878","H01347",unknown
"K02366","H00977",unknown
"K02085","H00017","LOH"
"K01889","H00266",unknown
"K19054","H00067","GAA repeat expansion"
"K01872","H00264",unknown
"K02125","H01355",unknown
"K12321","H00837",unknown
"K22544","H00291",unknown
"K08285","H00583",unknown
"K07374","H00789",unknown
"K17964","H01368",unknown
"K11471","H02460",unknown
"K04224","H00255",unknown
"K10174","H02371",unknown
"K03959","H00473",unknown
"K00431","H00251",unknown
"K10381","H00893",unknown
"K19751","H00564",unknown
"K02649","H01387",unknown
"K14966","H00480",unknown
"K06736","H02508",unknown
"K18269","H00534",unknown
"K14610","H01231",unknown
"K17095","H00058",unknown
"K16470","H00542",unknown
"K06854","H01612",unknown
"K08834","H00605",unknown
"K09176","H00817",unknown
"K01476","H01398",unknown
"K04575","H00970",unknown
"K06695","H00599",unknown
"K13289","H00276",unknown
"K09865","H00252",unknown
"K16196","H01621",unknown
"K01099","H00694",unknown
"K25552","H01282",unknown
"K01333","H00106",unknown
"K01764","H01904",unknown
"K06265","H02307",unknown
"K04631","H00971",unknown
"K07367","H02434","mutation"
"K06262","H01740",unknown
"K05078","H00001","rearrangement"
"K04584","H02035",unknown
"K09452","H01919",unknown
"K01110","H01195",unknown
"K05126","H01592",unknown
"K16533","H01811",unknown
"K17277","H00786",unknown
"K22046","H00091",unknown
"K05294","H01485",unknown
"K08202","H00630",unknown
"K09036","H01865",unknown
"K24826","H02481",unknown
"K04673","H01023",unknown
"K03120","H00063",unknown
"K06236","H02243",unknown
"K12389","H00149",unknown
"K01889","H02466",unknown
"K00498","H02314",unknown
"K04539","H02463",unknown
"K20913","H01656",unknown
"K06236","H00613",unknown
"K06618","H00013","LOH, mutation"
"K22870","H00537",unknown
"K04524","H00156",unknown
"K17479","H00605",unknown
"K11863","H01478","CAG repeat expansion"
"K10613","H00509",unknown
"K12885","H00658",unknown
"K11728","H02460",unknown
"K20301","H00760",unknown
"K05443","H00084","polymorphism"
"K19605","H02158",unknown
"K02085","H00044","mutation"
"K08489","H00244",unknown
"K13757","H00481",unknown
"K11405","H00631",unknown
"K06642","H00092",unknown
"K04992","H00144",unknown
"K08778","H01897",unknown
"K17385","H00255",unknown
"K13118","H01004",unknown
"K04893","H00728",unknown
"K09398","H01040",unknown
"K12879","H00480",unknown
"K12350","H00423",unknown
"K11588","H02111",unknown
"K15175","H00246",unknown
"K23917","H00627",unknown
"K19663","H00063",unknown
"K24682","H02111",unknown
"K01939","H00594",unknown
"K12304","H00494",unknown
"K14009","H02287",unknown
"K17540","H01282",unknown
"K11351","H01904",unknown
"K11126","H00038",unknown
"K09293","H00250",unknown
"K03907","H01434",unknown
"K04803","H00986",unknown
"K12400","H00266",unknown
"K05763","H02526",unknown
"K06241","H00294",unknown
"K10844","H00866",unknown
"K01835","H00069",unknown
"K11348","H02463",unknown
"K15614","H00604",unknown
"K00742","H01013",unknown
"K04710","H00810",unknown
"K04707","H00523",unknown
"K06765","H00020","deletion"
"K08123","H01029",unknown
"K14426","H00240",unknown
"K22611","H00791",unknown
"K22428","H01193",unknown
"K23457","H00786",unknown
"K24185","H00838",unknown
"K04976","H00787",unknown
"K09250","H00568",unknown
"K08063","H00985",unknown
"K19363","H00264",unknown
"K10730","H00458",unknown
"K13524","H01257",unknown
"K11126","H00507",unknown
"K07905","H02470",unknown
"K24888","H02510",unknown
"K19600","H00837",unknown
"K00488","H00151",unknown
"K09398","H01159",unknown
"K23687","H00906",unknown
"K11126","H01667","amplification"
"K04248","H02019",unknown
"K23405","H00537",unknown
"K14685","H00211",unknown
"K09492","H02180",unknown
"K10896","H00627",unknown
"K16938","H01282",unknown
"K11462","H02477",unknown
"K09624","H00768",unknown
"K00474","H02111",unknown
"K04686","H01159",unknown
"K04838","H00728",unknown
"K02161","H00041","overexpression"
"K09354","H02036",unknown
"K04361","H00030","amplification"
"K23330","H00523",unknown
"K14711","H02041",unknown
"K11995","H00080",unknown
"K00478","H01158",unknown
"K17606","H01035","5-prime region"
"K09542","H00294",unknown
"K04365","H01745",unknown
"K02126","H01355",unknown
"K00507","H00604",unknown
"K09270","H02356",unknown
"K09377","H00292",unknown
"K01958","H01400",unknown
"K06624","H00247",unknown
"K01488","H00092",unknown
"K07509","H00525",unknown
"K08528","H02170",unknown
"K05448","H01459","polymorphism"
"K09447","H00096",unknown
"K10661","H02213",unknown
"K11989","H00482",unknown
"K07152","H01368",unknown
"K00728","H00120",unknown
"K10532","H00527",unknown
"K19383","H00267",unknown
"K18985","H02088",unknown
"K24889","H02234",unknown
"K05495","H00918",unknown
"K15980","H02085",unknown
"K04953","H00971",unknown
"K18328","H02536",unknown
"K24201","H00066","mutation"
"K18194","H01369",unknown
"K15378","H00168",unknown
"K16910","H00604",unknown
"K04708","H00710",unknown
"K08771","H02106",unknown
"K19470","H00408","polymorphism"
"K07834","H02535",unknown
"K12382","H01239",unknown
"K18727","H02463",unknown
"K11429","H00773",unknown
"K16931","H00216",unknown
"K16670","H02394",unknown
"K01425","H00606",unknown
"K17897","H02198",unknown
"K05717","H01260",unknown
"K18485","H00700",unknown
"K08669","H00754",unknown
"K04495","H01037",unknown
"K03161","H00093","TNFSF5"
"K03259","H02111",unknown
"K09275","H00604",unknown
"K04451","H00010","mutation"
"K10736","H02525",unknown
"K10207","H00608",unknown
"K08601","H00828",unknown
"K01186","H00422",unknown
"K05056","H02254",unknown
"K04228","H01683",unknown
"K00814","H00768",unknown
"K04524","H00887",unknown
"K04571","H00118",unknown
"K19327","H01891",unknown
"K19674","H00511",unknown
"K00650","H02505",unknown
"K23420","H00671",unknown
"K21999","H02176",unknown
"K12891","H02412","mutation"
"K09637","H01278",unknown
"K04392","H00773",unknown
"K04630","H01884",unknown
"K17177","H02426",unknown
"K07599","H00784",unknown
"K24223","H01677",unknown
"K14157","H00188",unknown
"K05091","H00003","mutation"
"K17399","H00591",unknown
"K10858","H00876",unknown
"K08537","H00624",unknown
"K04865","H02217",unknown
"K07985","H00288","polymorphism"
"K04508","H02336",unknown
"K04298","H01235",unknown
"K00234","H02005",unknown
"K23533","H00768",unknown
"K15378","H02463",unknown
"K05121","H01203",unknown
"K10808","H01118",unknown
"K10069","H01328","susceptibility"
"K11352","H01354",unknown
"K00012","H00606",unknown
"K09355","H01867",unknown
"K16550","H00530",unknown
"K01836","H01968",unknown
"K24818","H00605",unknown
"K00967","H00266",unknown
"K14998","H01368",unknown
"K04841","H00774",unknown
"K04498","H00504",unknown
"K03869","H00243",unknown
"K02257","H01368",unknown
"K17915","H01513","amplification"
"K20012","H00484",unknown
"K06240","H00586",unknown
"K11643","H02328",unknown
"K00759","H00195",unknown
"K06757","H02459",unknown
"K22808","H01097",unknown
"K19719","H02066",unknown
"K03781","H00203",unknown
"K22287","H00154",unknown
"K07210","H00089",unknown
"K12665","H02083",unknown
"K06737","H00876",unknown
"K00558","H00265",unknown
"K23585","H00626",unknown
"K04567","H00264",unknown
"K13596","H00632",unknown
"K01275","H00696",unknown
"K04527","H01228",unknown
"K13345","H01342",unknown
"K06493","H01235",unknown
"K07374","H01881",unknown
"K18207","H00593",unknown
"K01121","H00679",unknown
"K08845","H02425","mutation"
"K15728","H01117",unknown
"K16728","H00992",unknown
"K13759","H00527",unknown
"K07828","H00038","mutation"
"K24223","H01282",unknown
"K02730","H01730",unknown
"K13346","H00205",unknown
"K14562","H00610",unknown
"K01679","H02049",unknown
"K16499","H01775",unknown
"K08562","H01772",unknown
"K09100","H02106",unknown
"K04556","H00344","polymorphism"
"K04451","H01470","mutation"
"K21945","H00688",unknown
"K08737","H00020","germline mutation (HNPCC), LOH, somatic frameshift mutation"
"K05469","H01730",unknown
"K12316","H00069",unknown
"K20186","H00166",unknown
"K25533","H01282",unknown
"K12394","H00658",unknown
"K00922","H00048","mutation"
"K00939","H00092",unknown
"K02105","H00032","mutation"
"K16288","H01867",unknown
"K07605","H02225",unknown
"K04200","H00033","deletion"
"K00728","H00593",unknown
"K09452","H00268",unknown
"K06621","H01508","deletion"
"K15980","H00473",unknown
"K05010","H00705",unknown
"K00787","H01933",unknown
"K03990","H01434",unknown
"K01330","H02240",unknown
"K13375","H01593","polymorphism"
"K16472","H01265",unknown
"K23952","H01781",unknown
"K22287","H01784",unknown
"K05065","H00286","polymorphism"
"K23897","H00831",unknown
"K17654","H00891",unknown
"K05653","H00984",unknown
"K25217","H02332",unknown
"K05181","H02150",unknown
"K10244","H00063",unknown
"K10083","H00768",unknown
"K11373","H01987",unknown
"K17683","H01205",unknown
"K15107","H00606",unknown
"K03904","H00223",unknown
"K13899","H01185",unknown
"K02898","H00237",unknown
"K17751","H00546",unknown
"K05129","H00987",unknown
"K13867","H00899",unknown
"K03906","H00945",unknown
"K00522","H00211",unknown
"K03099","H01250",unknown
"K17398","H02294",unknown
"K06760","H02213",unknown
"K23574","H00605",unknown
"K00477","H00075",unknown
"K04731","H01358","polymorphism"
"K05041","H00849",unknown
"K16771","H00530",unknown
"K02842","H01439",unknown
"K16308","H00269",unknown
"K08132","H02247",unknown
"K22128","H01978",unknown
"K05689","H00032","downregulation"
"K12496","H02357",unknown
"K03881","H00068",unknown
"K10054","H00003","translocation"
"K20967","H02311",unknown
"K09363","H02036",unknown
"K01380","H00575",unknown
"K03903","H00223",unknown
"K01321","H00223",unknown
"K10358","H00604",unknown
"K17926","H01891",unknown
"K04957","H00729",unknown
"K09299","H00961",unknown
"K04447","H02410","mutation"
"K10372","H00698",unknown
"K04454","H00773",unknown
"K09025","H01784",unknown
"K04827","H00243",unknown
"K00167","H00172",unknown
"K24445","H01235",unknown
"K04451","H00009","mutation"
"K06751","H01694","polymorphism"
"K01344","H01723","deficiency"
"K02085","H01025",unknown
"K08624","H00409","polymorphism"
"K16813","H00734",unknown
"K05097","H02199",unknown
"K24526","H01649",unknown
"K01376","H01817",unknown
"K04437","H00595",unknown
"K00461","H00079",unknown
"K13339","H01575",unknown
"K01196","H01762",unknown
"K08869","H00999",unknown
"K12657","H00266",unknown
"K02085","H01881",unknown
"K05133","H00342",unknown
"K00228","H01763",unknown
"K07605","H00724",unknown
"K24255","H00265",unknown
"K05684","H01213",unknown
"K08879","H00264",unknown
"K03898","H01006",unknown
"K19680","H00538",unknown
"K04560","H01439",unknown
"K03068","H00436",unknown
"K04887","H00810",unknown
"K19678","H02157",unknown
"K04505","H00294",unknown
"K07430","H00628",unknown
"K24226","H01282",unknown
"K12001","H00626",unknown
"K00232","H02096",unknown
"K01969","H00181",unknown
"K03904","H00222",unknown
"K07990","H00107",unknown
"K04004","H02108",unknown
"K11866","H01872",unknown
"K12641","H00563",unknown
"K18739","H00455",unknown
"K04947","H00606",unknown
"K01332","H00080",unknown
"K16480","H00527",unknown
"K01311","H00932","non-European population"
"K03695","H00754",unknown
"K15443","H02132",unknown
"K10149","H00641","gain of function"
"K01110","H00031","mutation"
"K10875","H00031",unknown
"K11542","H00269",unknown
"K07210","H00095",unknown
"K06493","H00083","polymorphism"
"K06261","H00224",unknown
"K21768","H00619",unknown
"K14345","H01853",unknown
"K05099","H00021","germline activating mutation (HPRC), somatic activating mutation"
"K00022","H00525",unknown
"K00948","H00946",unknown
"K22608","H00482",unknown
"K05473","H01470","overexpression"
"K09354","H00544",unknown
"K05184","H00783",unknown
"K10900","H01733",unknown
"K05293","H01489",unknown
"K09478","H00375",unknown
"K02263","H00920",unknown
"K13625","H01779",unknown
"K20225","H00773",unknown
"K24144","H01202",unknown
"K05404","H00096",unknown
"K04929","H01705",unknown
"K09401","H00605",unknown
"K19728","H00109",unknown
"K09290","H00698",unknown
"K05094","H01754",unknown
"K04199","H00038",unknown
"K09420","H01508","translocation"
"K13375","H00434",unknown
"K18261","H00594",unknown
"K13801","H02041",unknown
"K08487","H00109",unknown
"K22383","H02459",unknown
"K05006","H00837",unknown
"K25090","H02534",unknown
"K04714","H02395",unknown
"K13242","H01529","polymorphism"
"K12865","H01913",unknown
"K16476","H00992",unknown
"K04361","H00055","amplification"
"K04273","H00786",unknown
"K09332","H01027",unknown
"K00802","H00597",unknown
"K03986","H00102",unknown
"K14683","H01298",unknown
"K00869","H01933",unknown
"K00623","H00770",unknown
"K17897","H00547",unknown
"K17399","H00087",unknown
"K00888","H00271",unknown
"K11219","H00107",unknown
"K06087","H01439",unknown
"K15009","H01649",unknown
"K19482","H00478",unknown
"K23457","H00737",unknown
"K10352","H00604",unknown
"K14223","H01347",unknown
"K05091","H01359","mutation"
"K11584","H00773",unknown
"K06752","H00079",unknown
"K13594","H01621",unknown
"K08694","H01439",unknown
"K06621","H00047","mutation"
"K13867","H01400",unknown
"K05431","H00842",unknown
"K07827","H02412","mutation"
"K04677","H02160",unknown
"K19636","H00779",unknown
"K05091","H01511","mutation"
"K07619","H00679",unknown
"K19464","H00264",unknown
"K01110","H00038","deletion, germline mutation, somatic mutation, LOH"
"K23318","H00625",unknown
"K22399","H01288",unknown
"K06582","H00630",unknown
"K19382","H00530",unknown
"K06621","H00019","mutation, deletion, promoter methylation"
"K02273","H01368",unknown
"K01052","H00148",unknown
"K19721","H00802",unknown
"K04368","H02425","mutation"
"K05246","H01293",unknown
"K23438","H00527",unknown
"K07432","H00606",unknown
"K06259","H01742",unknown
"K12192","H02342",unknown
"K12968","H00880",unknown
"K02332","H00469",unknown
"K13756","H00527",unknown
"K14802","H01204",unknown
"K01495","H00831",unknown
"K02134","H01369",unknown
"K09183","H00549",unknown
"K06755","H02450",unknown
"K05704","H00978",unknown
"K10730","H00296",unknown
"K18061","H00264",unknown
"K22759","H02342",unknown
"K19614","H00506",unknown
"K22420","H01282",unknown
"K00734","H02436",unknown
"K10087","H02130",unknown
"K06636","H00606",unknown
"K19289","H00264",unknown
"K12309","H00423",unknown
"K14736","H01145",unknown
"K16501","H00481",unknown
"K07293","H01984",unknown
"K15133","H02132",unknown
"K05083","H00031","overexpression"
"K00251","H00628",unknown
"K08729","H01832",unknown
"K19873","H00120",unknown
"K19407","H00444",unknown
"K14318","H00987",unknown
"K06813","H00779",unknown
"K07542","H01488",unknown
"K00688","H00069",unknown
"K17547","H02307",unknown
"K06270","H02523",unknown
"K05637","H01958",unknown
"K19606","H00506",unknown
"K16459","H02157",unknown
"K04363","H01590","translocation"
"K08857","H00511",unknown
"K19627","H00527",unknown
"K01809","H00118",unknown
"K08470","H00169",unknown
"K15166","H00768",unknown
"K17398","H02410","mutation"
"K07607","H00058",unknown
"K01357","H00471",unknown
"K02833","H01747",unknown
"K08809","H00700",unknown
"K22582","H00770",unknown
"K20732","H01217",unknown
"K23380","H00687",unknown
"K12459","H01605",unknown
"K09356","H00903",unknown
"K01344","H00223",unknown
"K04659","H02539",unknown
"K09668","H00120",unknown
"K05753","H02459",unknown
"K07621","H00712",unknown
"K19329","H00017",unknown
"K09828","H00617",unknown
"K05101","H00043","high/low expression"
"K04358","H00822",unknown
"K20294","H00119",unknown
"K04896","H00720",unknown
"K07597","H00294",unknown
"K23553","H01488",unknown
"K03908","H01723","deficiency"
"K22236","H00584",unknown
"K10641","H00264",unknown
"K12159","H00089",unknown
"K18163","H01354",unknown
"K24997","H01891",unknown
"K01965","H01400",unknown
"K00939","H00674",unknown
"K00473","H02245",unknown
"K01679","H01640","FH) (inactivation"
"K14139","H00342",unknown
"K05443","H01466","polymorphism"
"K25076","H00289",unknown
"K05094","H00997",unknown
"K24144","H01292",unknown
"K01283","H00083","polymorphism"
"K09371","H00604",unknown
"K10625","H00571",unknown
"K09270","H00759",unknown
"K13298","H00260",unknown
"K11492","H02461",unknown
"K13025","H02503",unknown
"K06088","H00840",unknown
"K25112","H02461",unknown
"K09302","H01286",unknown
"K09821","H00575",unknown
"K11109","H00042",unknown
"K02832","H01911",unknown
"K22073","H01894",unknown
"K22075","H01894",unknown
"K00323","H00256",unknown
"K04416","H00607",unknown
"K00476","H02255",unknown
"K04358","H00677",unknown
"K13335","H01342",unknown
"K06624","H00024","allelic loss"
"K23033","H00506",unknown
"K13575","H02310",unknown
"K07994","H00479",unknown
"K24031","H00294",unknown
"K11839","H01102",unknown
"K12844","H00527",unknown
"K01332","H00821",unknown
"K01217","H00128",unknown
"K19753","H00564",unknown
"K00616","H01189",unknown
"K18272","H00527",unknown
"K00089","H00607",unknown
"K04369","H02425","mutation"
"K09402","H01360","polymorphism"
"K02332","H01390",unknown
"K13997","H00072",unknown
"K03861","H00606",unknown
"K08423","H01431",unknown
"K19360","H00261",unknown
"K00710","H01193",unknown
"K15593","H00024","translocation"
"K13207","H00606",unknown
"K23880","H00265",unknown
"K05856","H00093",unknown
"K11247","H00003",unknown
"K12496","H00264",unknown
"K23883","H02133",unknown
"K06621","H01464","deletion"
"K04004","H00825",unknown
"K01867","H00856",unknown
"K23573","H02348",unknown
"K20994","H00623",unknown
"K12320","H01615",unknown
"K14211","H00557",unknown
"K06825","H00653",unknown
"K01415","H00910",unknown
"K12166","H02293",unknown
"K19467","H00476",unknown
"K01755","H01028",unknown
"K15162","H00889",unknown
"K04845","H00731",unknown
"K00844","H00664",unknown
"K08060","H00093",unknown
"K04843","H01391",unknown
"K04451","H00017","mutation"
"K07594","H00410",unknown
"K10359","H00779",unknown
"K11840","H02534",unknown
"K06841","H00764",unknown
"K10605","H01554","mutation"
"K23919","H01463","deletion"
"K06751","H01507",unknown
"K11529","H02380",unknown
"K01379","H02279",unknown
"K03940","H00473",unknown
"K05405","H00630",unknown
"K14158","H01261",unknown
"K12309","H00426",unknown
"K00784","H02530",unknown
"K16488","H00538",unknown
"K19867","H01216",unknown
"K08023","H00673",unknown
"K08546","H00805",unknown
"K08423","H01864",unknown
"K05692","H01255",unknown
"K16343","H00057",unknown
"K23417","H00933","loss of function"
